California,64919,--
Alameda,80623,5
Alpine,80225,16
Amador,44121,44
Butte,46174,33
Calaveras,50310,29
Colusa,45180,34
Contra Costa,81782,6
Del Norte,36860,55
El Dorado,69408,11
Fresno,42987,41
Glenn,43581,43
Humboldt,46285,36
Imperial,37904,49
Inyo,58351,25
Kern,39477,53
Kings,36599,56
Lake,40457,51
Lassen,33092,57
Los Angeles,63252,13
Madera,39388,54
Marin,139891,1
Mariposa,54375,27
Mendocino,48013,31
Merced,38626,52
Modoc,46245,35
Mono,55369,23
Monterey,56313,24
Napa,74379,7
Nevada,61358,18
Orange,70539,9
Placer,68351,12
Plumas,50296,30
Riverside,43295,42
Sacramento,53005,26
San Benito,54370,19
San Bernardino,41253,45
San Diego,62533,17
San Francisco,130464,2
San Joaquin,45547,28
San Luis Obispo,59806,20
San Mateo,131180,3
Santa Barbara,63586,14
Santa Clara,113693,4
Santa Cruz,70129,8
Shasta,46113,32
Sierra,41365,50
Siskiyou,43951,38
Solano,51819,21
Sonoma,66715,10
Stanislaus,43729,39
Sutter,44212,37
Tehama,40437,47
Trinity,32079,58
Tulare,40061,48
Tuolumne,46104,40
Ventura,63833,15
Yolo,55724,22
Yuba,41443,46
